code_muni;ADM_DIRETA;SI;EF;EM;ES;POS_GRAD;ESTATUTARIOS;ESTATUTARIOS_SI;ESTATUTARIOS_EF;ESTATUTARIOS_EM;ESTATUTARIOS_ES;ESTATUTARIOS_POS;CLT;CLT_SI;CLT_EF;CLT_EM;CLT_ES;CLT_POS;COMISSIONADOS;COMISSIONADOS_SI;COMISSIONADOS_EF;COMISSIONADOS_EM;COMISSIONADOS_ES;COMISSIONADOS_POS;SEMVINC;SEMVINC_SI;SEMVINC_EF;SEMVINC_EF;SEMVINC_ES;SEMVINC_POS
130050;789;0;157;360;272;0;504;0;57;225;222;0;0;0;0;0;0;0;57;0;4;37;16;0;228;0;96;98;34;0
130060;1376;0;328;822;201;25;577;0;268;198;86;25;0;0;0;0;0;0;72;0;0;0;72;0;727;0;60;624;43;0
130063;764;0;140;395;229;0;625;0;129;304;192;0;0;0;0;0;0;0;31;0;11;20;0;0;108;0;0;71;37;0
130068;733;0;225;275;222;11;373;0;84;127;154;8;0;0;0;0;0;0;168;0;90;74;3;1;192;0;51;74;65;2
130070;1554;27;307;832;355;33;1084;0;246;476;331;31;81;17;29;32;3;0;109;0;0;92;15;2;280;10;32;232;6;0
130080;973;10;320;485;138;20;420;0;90;180;130;20;0;0;0;0;0;0;13;0;0;5;8;0;540;10;230;300;0;0
130083;882;0;480;203;186;13;580;0;380;100;90;10;0;0;0;0;0;0;15;0;0;6;6;3;287;0;100;97;90;0
130090;691;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;448;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;0;0;0;0;0;0;243;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;0;0;0;0;0;0
130100;904;116;245;172;323;48;769;116;238;142;231;42;0;0;0;0;0;0;53;0;7;15;28;3;82;0;0;15;64;3
130110;1107;0;330;667;110;0;801;0;220;473;108;0;0;0;0;0;0;0;214;0;18;194;2;0;92;0;92;0;0;0
130115;777;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;443;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;0;0;0;0;0;0;124;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;210;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado
130120;1353;32;390;658;168;105;733;14;162;348;108;101;0;0;0;0;0;0;147;2;36;86;19;4;472;16;191;224;41;0
130130;430;0;2;368;60;0;331;0;2;308;21;0;0;0;0;0;0;0;84;0;0;45;39;0;15;0;0;15;0;0
130140;1459;0;353;735;371;0;1150;0;320;520;310;0;0;0;0;0;0;0;151;0;33;90;28;0;158;0;0;125;33;0
130150;704;23;242;252;187;0;518;9;195;174;140;0;52;10;20;22;0;0;51;0;16;28;7;0;83;4;11;28;40;0
130160;1020;0;202;325;474;19;954;0;202;280;460;12;0;0;0;0;0;0;60;0;0;45;10;5;6;0;0;0;4;2
130165;637;74;259;106;194;4;471;74;197;5;191;4;0;0;0;0;0;0;94;0;62;29;3;0;70;0;0;70;0;0
130170;1406;0;285;895;192;34;745;0;104;464;143;34;0;0;0;0;0;0;158;0;1;143;14;0;503;0;180;288;35;0
130180;380;0;167;108;105;0;276;0;118;56;102;0;0;0;0;0;0;0;104;0;49;52;3;0;0;0;0;0;0;0
130185;1570;0;0;976;536;58;753;0;0;460;235;58;0;0;0;0;0;0;156;0;0;70;86;0;661;0;0;446;215;0
130190;3759;57;970;1685;887;160;2692;29;627;1198;678;160;779;28;308;267;176;0;157;0;35;105;17;0;131;0;0;115;16;0
130195;399;8;162;77;152;0;327;8;143;50;126;0;0;0;0;0;0;0;28;0;8;18;2;0;44;0;11;9;24;0
130200;456;8;59;234;133;22;236;8;15;131;71;11;184;0;44;69;60;11;30;0;0;29;1;0;6;0;0;5;1;0
130210;271;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;65;0;0;0;60;5;200;Ignorado;Ignorado;Ignorado;Ignorado;Ignorado;0;0;0;0;0;0;0;0;0;0;0;0
130220;375;0;32;332;11;0;325;0;32;284;9;0;0;0;0;0;0;0;50;0;0;48;2;0;0;0;0;0;0;0
130230;1075;0;669;19;387;0;739;0;410;0;329;0;0;0;0;0;0;0;19;0;0;19;0;0;317;0;259;0;58;0
130240;1107;0;517;275;315;0;644;0;255;120;269;0;74;0;55;12;7;0;134;0;58;64;12;0;255;0;149;79;27;0
130250;1322;0;138;490;312;382;1084;0;109;305;288;382;56;0;0;56;0;0;182;0;29;129;24;0;0;0;0;0;0;0
