"","code_merge","code_muni","cand_reelec_2012","cand_sex_2012","cand_age_2012","cand_esc_2012","cand_reelec_2008","cand_sex_2008","cand_age_2008","cand_esc_2008","code_muni2","pop_2012","pop_2008","IDHM","UF.x","MUNICIPIO.x","log_to_brasilia","log_to_capital","Nome_UF","MicrorregiãoGeográfica_Nome","metropolitano","bur_escol_2008.x","bur_terc_2008.x","bur_espel_2008.x","bur_polit_2008.x","bur_escol_2008.y","bur_terc_2008.y","bur_espel_2008.y","bur_polit_2008.y","bur_consel_2008","bur_consel_2012","alinhamento_federal_2008","alinhamento_estadual_2008","alinhamento_politico_2008","alinhamento_ambos_2008","n_alinhado_2008","alinhamento_federal_2012","alinhamento_estadual_2012","alinhamento_politico_2012","alinhamento_ambos_2012","n_alinhado_2012","partido_pt_2012","competpol_NEP_2004","competpol_candvaga_2004","competpol_NEP_2008","competpol_candvaga_2008","municipio.x","Habilitado","inova7","UF.y","MUNICIPIO.y","municipio.y","rec_orcamento_2012","log_orcamento_2012","orcamento_proppop_2012"
"4528","SPilha comprida",352042,"Sim","Masculino","51",1,"Não","Masculino","47",1,"3520426",9376,9782,0.725,"SP","Ilha Comprida",6.90500149078552,5.083141984883,"São Paulo","Registro",0,0.231707317073171,0,574,0.125,0.231707317073171,0,574,0.125,1,1,0,1,1,0,0,0,1,1,0,0,0,1.895376055,3,2.646469253,4,"ilha comprida","Sim",1,"SP","Ilha Comprida","ilha comprida",87862488.48,18.2912835193523,9370.99919795222
"4529","SPilha solteira",352044,"Não","Masculino","70",1,"Não","Masculino","58",1,"3520442",25226,25057,0.812,"SP","Ilha Solteira",6.44673517675165,6.39049231325214,"São Paulo","Andradina",0,0.263295553618134,0,967.141238012206,0.015693112467306,0.263295553618134,0,967.141238012206,0.015693112467306,1,1,0,0,0,0,1,0,0,0,0,1,0,2.230622697,4,2.729602285,3,"ilha solteira","Sim",1,"SP","Ilha Solteira","ilha solteira",116193496.58,18.570767433346,4606.10071275668
"4530","SPilhabela",352040,"Sim","Masculino","52",1,"Não","Masculino","48",1,"3520400",29308,25550,0.756,"SP","Ilhabela",6.83419484920742,4.88771408058375,"São Paulo","Caraguatatuba",0,0.165730337078652,0.114232209737828,729,0.150749063670412,0.165730337078652,0.114232209737828,729,0.150749063670412,1,1,0,0,0,0,1,0,0,0,0,1,0,2.080852943,4,2.746568545,4,"ilhabela","Sim",1,"SP","Ilhabela","ilhabela",161101099.21,18.8975426712772,5496.8301900505
"4531","SPindaiatuba",352050,"Sim","Masculino","44",1,"Não","Masculino","41",1,"3520509",209859,180524,0.788,"SP","Indaiatuba",6.70472068059064,4.36003661678227,"São Paulo","Campinas",0,0.317835002384359,0,3843.00166905103,0.0820219360991893,0.317835002384359,0,3843.00166905103,0.0820219360991893,1,1,0,0,0,0,1,0,0,0,0,1,0,3.490095172,4,1.853723267,3,"indaiatuba","Sim",1,"SP","Indaiatuba","indaiatuba",730813819.04,20.4096692917584,3482.40399048885
"4534","SPipaussu",352090,"Sim","Masculino","47",0,"Não","Masculino","43",0,"3520905",13831,13521,0.727,"SP","Ipaussu",6.71955648501531,5.73718501295653,"São Paulo","Ourinhos",0,0.263888888888889,0.0944444444444444,0.855555555555556,0.05,0.263888888888889,0.0944444444444444,0.855555555555556,0.05,1,1,0,1,1,0,0,0,0,0,0,1,0,1.556086859,2,2.688307401,4,"ipaussu","Sim",1,"SP","Ipaussu","ipaussu",35703346.59,17.3907549843732,2581.40023064131
"4541","SPirapua",352150,"Sim","Masculino","66",1,"Não","Masculino","63",1,"3521507",7369,6953,0.713,"SP","Irapuã",6.44732171027618,5.94188031775222,"São Paulo","Novo Horizonte",0,0.208029197080292,0.0182481751824818,236.098540145985,0.0218978102189781,0.208029197080292,0.0182481751824818,236.098540145985,0.0218978102189781,0,1,0,0,0,0,1,0,0,0,0,1,0,1.977284853,2,1.976102726,3,"irapua","Sim",1,"SP","Irapua","irapua",17074675.32,16.6531069483062,2317.09530736871
"4544","SPitajobi",352190,"Não","Masculino","49",0,"Sim","Feminino","49",1,"3521903",14606,14652,0.73,"SP","Itajobi",6.44107412420033,5.86092866346326,"São Paulo","Novo Horizonte",0,0.116141732283465,0,415.082677165354,0.0452755905511811,0.116141732283465,0,415.082677165354,0.0452755905511811,0,1,0,0,0,0,1,0,0,0,0,1,0,2.809051088,3,1.997128657,2,"itajobi","Não",0,"SP","Itajobi","itajobi",39859648.57,17.5008750561019,2728.99141243325
"4548","SPitapecerica da serra",352220,"Não","Masculino","51",1,"Sim","Masculino","50",1,"3522208",156077,159102,0.742,"SP","Itapecerica da Serra",6.79095176343925,3.35689712276558,"São Paulo","Itapecerica da Serra",1,0.210296684118674,0.0450843513670739,9.70942408376963,0.154450261780105,0.210296684118674,0.0450843513670739,9.70942408376963,0.154450261780105,1,1,0,0,0,0,1,0,0,0,0,1,0,2.432990355,3,2.630802561,4,"itapecerica da serra","Sim",1,"SP","Itapecerica da Serra","itapecerica da serra",277566220.06,19.4415700935298,1778.39284494192
"4549","SPitapetininga",352230,"Não","Masculino","63",1,"Sim","Masculino","49",1,"3522307",147219,146760,0.763,"SP","Itapetininga",6.767055396879,4.97327950755249,"São Paulo","Itapetininga",0,0.225923244026068,0,2434.03982621289,0.0170166545981173,0.225923244026068,0,2434.03982621289,0.0170166545981173,1,1,0,0,0,0,1,0,0,0,0,1,0,2.126943525,4,2.035023621,3,"itapetininga","Sim",1,"SP","Itapetininga","itapetininga",302754104.44,19.528431497498,2056.48798348039
"4550","SPitapeva",352240,"Não","Masculino","43",1,"Sim","Masculino","54",1,"3522406",88491,89197,0.732,"SP","Itapeva",6.82149997973005,5.45108137109967,"São Paulo","Itapeva",0,0.151503759398496,0.208270676691729,2022,0.0225563909774436,0.151503759398496,0.208270676691729,2022,0.0225563909774436,1,1,1,0,1,0,0,0,1,1,0,0,0,2.136184346,4,1.700585524,3,"itapeva","Sim",1,"SP","Itapeva","itapeva",205052524.43,19.1387767210165,2317.21332598795
