"Habilitado";"UF";"Prefeitura"
"390";"Sim";"SP";"eldorado"
"391";"Sim";"SP";"santo antonio da alegria"
"392";"Não";"SP";"franco da rocha"
"393";"Sim";"SP";"alvares machado"
"394";"Sim";"SP";"sete barras"
"395";"Sim";"SP";"arandu"
"396";"Sim";"SP";"estancia balnearia de amongagua"
"397";"Sim";"SP";"sumare"
"398";"Não";"SP";"parapua"
"399";"Sim";"SP";"cubatao"
"400";"Sim";"SC";"timbo"
"401";"Sim";"SC";"seara"
"402";"Sim";"SC";"ipora do oeste"
"403";"Sim";"SC";"sombrio"
"404";"Sim";"SC";"otacilio costa"
"405";"Sim";"SC";"curitibanos"
"406";"Sim";"SC";"municipio de joacaba"
"407";"Sim";"SC";"ita"
"408";"Sim";"SC";"xaxim"
"409";"Sim";"SC";"itapoa"
"410";"Sim";"SC";"agua doce"
"411";"Sim";"SC";"balneario barra do sul"
"412";"Sim";"SC";"lindoia do sul"
"413";"Sim";"SC";"prefeitura municiopal de araquari"
"414";"Sim";"RR";"uiramuta"
"415";"Sim";"RR";"canta"
"416";"Sim";"RR";"pacaraima"
"417";"Sim";"RO";"vilhena"
"418";"Sim";"RS";"encantado"
"419";"Não";"RS";"jacutinga"
"420";"Sim";"RS";"capela de santana"
"421";"Sim";"RS";"sao pedro do butia"
"422";"Sim";"RS";"alto feliz"
"423";"Não";"RS";"miraguai"
"424";"Não";"RS";"victor graeff"
"425";"Sim";"RS";"bage"
"426";"Sim";"RS";"butia"
"427";"Sim";"RS";"garibaldi"
"428";"Não";"RS";"palmeira das missoes"
"429";"Sim";"RS";"aratiba"
"430";"Não";"RS";"vitoria das missoes"
"431";"Sim";"RS";"marau"
"432";"Sim";"RS";"santo antonio da patrulha"
"433";"Não";"RS";"julio de castilhos"
"434";"Sim";"RS";"nova prata"
"435";"Sim";"RS";"tres coroas/rs"
"436";"Sim";"RN";"parelhas"
"437";"Sim";"RN";"tenente ananias"
"438";"Sim";"RN";"currais novos/rn"
"439";"Sim";"RJ";"miracema"
"440";"Sim";"RJ";"cachoeiras de macacu"
"441";"Sim";"RJ";"macuco"
"442";"Não";"RJ";"duas barras"
"443";"Sim";"RJ";"natividade"
"444";"Sim";"RJ";"rio das flores"
"445";"Sim";"PI";"pio ix"
"446";"Sim";"PI";"nossa senhora de nazare"
"447";"Sim";"PI";"valenca do piaui"
"448";"Sim";"PI";"floriano"
"449";"Sim";"PI";"cajazeiras do piaui"
"450";"Sim";"PI";"sao joao do arraial"
"451";"Sim";"PE";"triunfo"
"452";"Sim";"PE";"cha de alegria"
"453";"Sim";"PE";"cortes"
"454";"Sim";"PE";"gameleira"
"455";"Sim";"PE";"cedro"
"456";"Sim";"PE";"joaquim nabuco"
"457";"Sim";"PE";"garanhuns"
"458";"Sim";"PE";"paranatama"
"459";"Sim";"PE";"carnaiba"
"460";"Sim";"PE";"angelim"
"461";"Sim";"PE";"barreiros"
"462";"Sim";"PE";"abreu e lima"
"463";"Sim";"PR";"foz do iguacu"
"464";"Sim";"PR";"apucarana"
"465";"Sim";"PB";"livramento"
"466";"Sim";"PB";"sao jose do brejo do cruz"
"467";"Sim";"PB";"triunfo"
"468";"Sim";"PA";"ulianopolis"
"469";"Sim";"PA";"benevides"
"470";"Sim";"PA";"xinguara/ xinguara"
"471";"Sim";"PA";"belem"
"472";"Sim";"PA";"castanhal"
"473";"Sim";"PA";"tome-acu"
"474";"Sim";"MG";"salinas"
"475";"Sim";"MG";"dom joaquim"
"476";"Sim";"MG";"senador firmino"
"477";"Sim";"MG";"novorizonte"
"478";"Sim";"MG";"pirangucu"
"479";"Sim";"MG";"montes claros"
"480";"Sim";"MG";"itamonte"
"481";"Sim";"MG";"pirapora (mg)"
"482";"Sim";"MS";"brasilandia"
"483";"Sim";"MS";"costa rica"
"484";"Sim";"MS";"itapora"
"485";"Sim";"MS";"guia lopes da laguna"
"486";"Sim";"MS";"nova andradina"
"487";"Sim";"MS";"ponta pora ms"
"488";"Não";"MT";"caceres"
"489";"Sim";"MT";"barra do garcas"
"490";"Sim";"MT";"varzea grande"
"491";"Sim";"MT";"paranatinga"
"492";"Sim";"MT";"campo novo do parecis"
"493";"Sim";"MA";"itapecuru mirim"
"494";"Sim";"MA";"nova iorque"
"495";"Sim";"MA";"anajatuba"
"496";"Sim";"MA";"sao joao dos patos"
"497";"Não";"GO";"aparecida de goiania"
"498";"Sim";"GO";"crixas"
